146613,Lemna minor,ForestDryPoor
146614,Lemna minor,ForestDryPoor
146615,Lemna minor,ForestDryPoor
146616,Lemna minor,ForestDryPoor
146617,Lemna minor,ForestDryPoor
146618,Lemna minor,ForestDryPoor
146619,Lemna minor,ForestDryPoor
146620,Lemna minor,ForestDryPoor
146621,Lemna minor,ForestDryPoor
146622,Lemna minor,ForestDryPoor
146623,Lemna minor,ForestDryPoor
146624,Lemna minor,ForestDryPoor
146625,Lemna minor,ForestDryPoor
146626,Lemna minor,ForestDryPoor
146627,Lemna minor,ForestDryPoor
146628,Lemna minor,ForestDryPoor
146629,Lemna minor,ForestDryPoor
146630,Lemna minor,ForestDryPoor
146631,Lemna minor,ForestDryPoor
146632,Lemna minor,ForestDryPoor
147212,Lemna minor,ForestDryPoor
147213,Lemna minor,ForestDryPoor
147214,Lemna minor,ForestDryPoor
147215,Lemna minor,ForestDryPoor
147216,Lemna minor,ForestDryPoor
147217,Lemna minor,ForestDryPoor
147218,Lemna minor,ForestDryPoor
147219,Lemna minor,ForestDryPoor
147220,Lemna minor,ForestDryPoor
147221,Lemna minor,ForestDryPoor
147222,Lemna minor,ForestDryPoor
147223,Lemna minor,ForestDryPoor
147224,Lemna minor,ForestDryPoor
147225,Lemna minor,ForestDryPoor
147226,Lemna minor,ForestDryPoor
147227,Lemna minor,ForestDryPoor
147228,Lemna minor,ForestDryPoor
147229,Lemna minor,ForestDryPoor
147230,Lemna minor,ForestDryPoor
147231,Lemna minor,ForestDryPoor
147811,Lemna minor,ForestDryPoor
147812,Lemna minor,ForestDryPoor
147813,Lemna minor,ForestDryPoor
147814,Lemna minor,ForestDryPoor
147815,Lemna minor,ForestDryPoor
147816,Lemna minor,ForestDryPoor
147817,Lemna minor,ForestDryPoor
147818,Lemna minor,ForestDryPoor
147819,Lemna minor,ForestDryPoor
147820,Lemna minor,ForestDryPoor
147821,Lemna minor,ForestDryPoor
147822,Lemna minor,ForestDryPoor
147823,Lemna minor,ForestDryPoor
147824,Lemna minor,ForestDryPoor
147825,Lemna minor,ForestDryPoor
147826,Lemna minor,ForestDryPoor
147827,Lemna minor,ForestDryPoor
147828,Lemna minor,ForestDryPoor
147829,Lemna minor,ForestDryPoor
147830,Lemna minor,ForestDryPoor
148410,Lemna minor,ForestDryPoor
148411,Lemna minor,ForestDryPoor
148412,Lemna minor,ForestDryPoor
148413,Lemna minor,ForestDryPoor
148414,Lemna minor,ForestDryPoor
148415,Lemna minor,ForestDryPoor
148416,Lemna minor,ForestDryPoor
148417,Lemna minor,ForestDryPoor
