69861,Tanacetum vulgare,ForestDryPoor
69862,Tanacetum vulgare,ForestDryPoor
69863,Tanacetum vulgare,ForestDryPoor
69864,Tanacetum vulgare,ForestDryPoor
69865,Tanacetum vulgare,ForestDryPoor
69866,Tanacetum vulgare,ForestDryPoor
70460,Tanacetum vulgare,ForestDryPoor
70461,Tanacetum vulgare,ForestDryPoor
70462,Tanacetum vulgare,ForestDryPoor
70463,Tanacetum vulgare,ForestDryPoor
70464,Tanacetum vulgare,ForestDryPoor
70465,Tanacetum vulgare,ForestDryPoor
70466,Tanacetum vulgare,ForestDryPoor
70467,Tanacetum vulgare,ForestDryPoor
70468,Tanacetum vulgare,ForestDryPoor
70469,Tanacetum vulgare,ForestDryPoor
71059,Tanacetum vulgare,ForestDryPoor
71060,Tanacetum vulgare,ForestDryPoor
71061,Tanacetum vulgare,ForestDryPoor
71062,Tanacetum vulgare,ForestDryPoor
71063,Tanacetum vulgare,ForestDryPoor
71064,Tanacetum vulgare,ForestDryPoor
71065,Tanacetum vulgare,ForestDryPoor
71066,Tanacetum vulgare,ForestDryPoor
71067,Tanacetum vulgare,ForestDryPoor
71068,Tanacetum vulgare,ForestDryPoor
71069,Tanacetum vulgare,ForestDryPoor
71070,Tanacetum vulgare,ForestDryPoor
71658,Tanacetum vulgare,ForestDryPoor
71659,Tanacetum vulgare,ForestDryPoor
71660,Tanacetum vulgare,ForestDryPoor
71661,Tanacetum vulgare,ForestDryPoor
71662,Tanacetum vulgare,ForestDryPoor
71663,Tanacetum vulgare,ForestDryPoor
71664,Tanacetum vulgare,ForestDryPoor
71665,Tanacetum vulgare,ForestDryPoor
71666,Tanacetum vulgare,ForestDryPoor
71667,Tanacetum vulgare,ForestDryPoor
71668,Tanacetum vulgare,ForestDryPoor
71669,Tanacetum vulgare,ForestDryPoor
71670,Tanacetum vulgare,ForestDryPoor
71671,Tanacetum vulgare,ForestDryPoor
71672,Tanacetum vulgare,ForestDryPoor
72257,Tanacetum vulgare,ForestDryPoor
72258,Tanacetum vulgare,ForestDryPoor
72259,Tanacetum vulgare,ForestDryPoor
72260,Tanacetum vulgare,ForestDryPoor
72261,Tanacetum vulgare,ForestDryPoor
72262,Tanacetum vulgare,ForestDryPoor
72263,Tanacetum vulgare,ForestDryPoor
72264,Tanacetum vulgare,ForestDryPoor
72265,Tanacetum vulgare,ForestDryPoor
72266,Tanacetum vulgare,ForestDryPoor
72267,Tanacetum vulgare,ForestDryPoor
72268,Tanacetum vulgare,ForestDryPoor
72269,Tanacetum vulgare,ForestDryPoor
72270,Tanacetum vulgare,ForestDryPoor
72271,Tanacetum vulgare,ForestDryPoor
72272,Tanacetum vulgare,ForestDryPoor
